Document,Table,Topic,Primary capability / role,Outcome / level,Constraints / dependencies / cost,Action / implementation note
Google Cloud Credits,Service inventory,Serverless compute - Cloud Run,Primary API + webhook receiver + UI backend + event handlers; scale-to-zero ideal for bursty operations,Service,"Request-based free tier includes 2M requests, 180k vCPU-seconds, 360k GiB-seconds per month (billing-account scoped), then billed per vCPU-second / GiB-second and per million requests.",
Google Cloud Credits,Service inventory,Functions - Cloud Functions (Cloud Run functions),"Lightweight glue code: webhook endpoints, Pub/Sub handlers, scheduled jobs",Service,"Use for “small, single-purpose” handlers; costs align closely with Cloud Run request-based pricing patterns.",
Google Cloud Credits,Service inventory,Orchestration - Workflows,Orchestrate multi-step processes (order -> calendar -> tasks -> email -> invoice); durable retries & error handling,Service,"Always-free: 5,000 internal steps + 2,000 external HTTP calls monthly; then $0.01/1k internal steps, $0.025/1k external steps.",
Google Cloud Credits,Service inventory,Eventing - Pub/Sub,"Event bus for decoupling: order.created, invoice.sent, inventory.low",Service,"Always-free: first 10 GiB throughput per month; then throughput billed (e.g., $40/TiB in standard regions).",
Google Cloud Credits,Service inventory,Scheduling - Cloud Scheduler,"Cron-like triggers: daily inventory checks, weekly labor report, nightly sync",Service,Billed per job definition (not per execution): $0.10/job/31 days; there is a small free allowance (commonly cited as first 3 jobs/month).,
Google Cloud Credits,Service inventory,Background queue - Cloud Tasks,"Reliable retries for side effects: send emails/SMS, generate PDFs, write to external systems",Service,"First 1M operations/month free, then $0.40 per million operations (chunked).",
Google Cloud Credits,Service inventory,App platform - App Engine,Alternative to Cloud Run for some web apps; can host internal dashboards,Service,"App Engine Standard has Free Tier instance-hour allowances (e.g., daily free quotas for certain instance classes) but can be less flexible than Cloud Run for modern container workflows.",
Google Cloud Credits,Service inventory,Managed VMs - Compute Engine,"“Managed VM” approach: run a monolith, cron jobs, legacy integrations",Service,"Free tier includes one e2-micro VM plus limited disk/egress in specific US regions; beyond that, VM costs + disk + networking apply.",
Google Cloud Credits,Service inventory,Containers / microservices - GKE,"Kubernetes-based microservices, advanced networking/policies, multi-service ops",Service,Has a cluster management fee of $0.10/cluster-hour (≈$72-$73/month baseline) plus node compute/storage.,
Google Cloud Credits,Service inventory,Storage - Cloud Storage,"Store contracts, BEOs, menus, invoices, photos, logs exports",Service,Charged by storage class + operations + egress; supports bucket-level location choice and features like object versioning / lifecycle policies for cost control.,
Google Cloud Credits,Service inventory,Database (NoSQL) - Firestore,Operational system-of-record for events/orders/menus/tasks; flexible for rapid iteration,Service,"One free database; free tier includes 1 GiB storage, 50k reads/day, 20k writes/day, 10 GiB outbound/month. PITR/backups are billable features.",
Google Cloud Credits,Service inventory,Database (SQL) - Cloud SQL,"Relational back office (invoices, line items, inventory ledger) when strict SQL constraints needed",Service,"Shared-core pricing starts around $0.0105/hour for db-f1-micro (plus storage, backups, networking); PITR and automated backups available.",
Google Cloud Credits,Service inventory,Cache - Memorystore,"Cache hot data (menus, route lookups), rate-limit tokens, session store",Service,Often expensive for small budgets (example pricing shows large monthly costs even at modest sizes). Avoid unless you have clear performance need.,
Google Cloud Credits,Service inventory,Analytics - BigQuery,"Reporting: lead sources, conversion, food cost, labor %, vendor spend, delivery SLA; billing analytics",Service,BigQuery has a free tier and free operations; you can also export Cloud Billing data into BigQuery for cost governance.,
Google Cloud Credits,Service inventory,Security - IAM,"Roles, service accounts, least-privilege service-to-service auth",Service,Core to controlling who can invoke services / access data; service account best practices are explicitly documented.,
Google Cloud Credits,Service inventory,Secrets - Secret Manager,"Store API keys (CRM, vendors, SMS), DB creds, signing keys",Service,6 secret versions free; access operations charged after free tier; Cloud Run can be configured to access secrets via IAM role bindings.,
Google Cloud Credits,Service inventory,Networking - VPC,"Private networking, egress control, private service access (e.g., private DB)",Service,"VPC itself is foundational; costs typically appear via egress, NAT, load balancing, etc. Networking pricing applies during and after free trial (charged against credits in trial).",
Google Cloud Credits,Service inventory,Observability - Cloud Monitoring (Observability),"Monitoring, alerting, uptime checks, dashboards",Service,"Some Monitoring features have free allotments (e.g., 1M uptime check executions/month), then metered charges.",
Google Cloud Credits,Service inventory,Logging (related) - Cloud Logging,Operational audit trail; troubleshooting workflows and order flows,Service,"Log ingestion has a free tier commonly referenced as first 50 GiB/month, then ~$0.50/GiB ingestion; retention beyond 30 days billed at $0.01/GiB-month. Manage via exclusions/retention.",
Google Cloud Credits,Service inventory,Billing governance - Cloud Billing API + Budgets,Automate guardrails and reporting; programmatic budget notifications to Pub/Sub,Service,Budgets can trigger Pub/Sub notifications; Billing export to BigQuery supports cost analytics.,
Google Cloud Credits,Service inventory,Maps - Maps/Places/Routes APIs,"Delivery routing, geocoding venues, address validation, ETA estimates",Service,"Since March 1, 2025: pricing uses free monthly calls per SKU (Essentials commonly 10k free calls/SKU). Route compute and geocoding have explicit caps and per-1,000-event pricing.",
Google Cloud Credits,Service inventory,AI/ML - Vision API,"Receipt/photo scanning, label/OCR, basic image understanding",Service,"Free tier: 1,000 units/month; quickstarts explicitly note the free allowance.",
Google Cloud Credits,Service inventory,AI/ML - Speech-to-Text,Voice-based order capture; transcribe voicemails,Service,Free tier: 60 minutes/month.,
Google Cloud Credits,Service inventory,AI/ML - Document AI,"Parse invoices, contracts, banquet event orders (BEOs), W-9s; structured extraction",Service,Paid per processing; positioned as “try free” via credits for new customers; use sparingly unless you have volume economics.,
Google Cloud Credits,Service inventory,IoT - IoT (note: IoT Core retired),Temperature logger ingestion + alerts; cold chain compliance,Service,"IoT Core was retired Aug 16, 2023; implement IoT ingestion using generic endpoints (Cloud Run + Pub/Sub) or partner platforms.",
Google Cloud Credits,Service inventory,CI/CD (recommended) - Cloud Build + Artifact Registry + Cloud Deploy,Build/deploy Cloud Run services reliably,Service,Cloud Build has free build-minutes allowances (documented in Free Tier tables); Artifact Registry has a small free storage tier; Cloud Deploy pricing includes a free first active multi-target pipeline and $5/month for additional multi-target pipelines.,
Google Cloud Credits,Workflow mapping,"Order intake (web, email, form, CRM lead)","Start with one Cloud Run endpoint /orders that validates, writes an Order doc, and publishes order.created. A Workflows execution then creates/updates: a calendar event, prep plan, and customer confirmation email.",Triggers: Web form submit; inbound email; CRM webhook,Cloud Run (HTTP) + Firestore + Pub/Sub + Workflows,
Google Cloud Credits,Workflow mapping,Menu management,"Implement menu items as Firestore documents. For adoption, add a “Sheets sync” job (read/write via Sheets API) so the team can keep using familiar sheets during transition.",Triggers: Internal admin edits; seasonal updates,Firestore + Cloud Run admin UI; optionally Sheets as UI surface,
Google Cloud Credits,Workflow mapping,Inventory tracking,Track inventory deltas per event. Nightly job computes “projected stock” and flags low items. Export snapshots to BigQuery later for analysis (food cost trends).,Triggers: After event closeout; scheduled nightly reconciliation,Firestore + Cloud Scheduler + Cloud Run job + BigQuery (optional),
Google Cloud Credits,Workflow mapping,Procurement / shopping lists,Generate a purchase list (by vendor/category) and push to a shared Sheet; email vendors automatically with a draft PO (PDF stored in Cloud Storage). Use Cloud Tasks for retries.,Triggers: inventory.low event; weekly planning,Pub/Sub + Workflows + Cloud Tasks + Gmail/Sheets APIs,
Google Cloud Credits,Workflow mapping,Recipe scaling,"Implement a deterministic scaling service: input (recipe_id, servings, dietary constraints) -> output scaled ingredient quantities. Store results per event as an immutable “prep plan” version.",Triggers: Order final headcount changes,Cloud Run job/function + Firestore,
Google Cloud Credits,Workflow mapping,Scheduling / staffing,"Workflow maintains a canonical event schedule in Firestore, then writes “staffing needs” rows to Sheets and creates Calendar blocks for shifts. The extraction emphasizes calendar-driven planning and labor allocation pressure.",Triggers: New event confirmed; weekly labor planning,Workflows + Calendar API + Sheets API,
Google Cloud Credits,Workflow mapping,Delivery routing,"MVI: geocode/validate addresses, compute a route, store ETAs; share route link to driver. Keep within free SKU caps first (Essentials often 10k free calls).",Triggers: Delivery window set; address confirmed,Cloud Run + Routes API + (optional) Route Optimization API,
Google Cloud Credits,Workflow mapping,Customer notifications,Email is simplest and low-cost to start (Gmail API). Use Cloud Tasks for retry/backoff and idempotency keys to avoid duplicate sends. SMS can be added later via an external provider.,Triggers: Order confirmation; reminders; delivery updates,"Cloud Tasks + Gmail API; optional SMS via entity[""company"",""Twilio"",""sms platform""]",
Google Cloud Credits,Workflow mapping,Billing / invoicing,"MVI: Generate invoice PDFs, store in Cloud Storage, email via Gmail API, update payment status in Firestore. If you need relational accounting rigor, introduce Cloud SQL later; pricing starts at small shared-core rates but it’s easy to overspend if left running 24/7.",Triggers: Event completion; deposit due; balance due,Cloud Run + Firestore/Cloud SQL + Cloud Storage + Gmail API,
Google Cloud Credits,Workflow mapping,Compliance / temperature logging,"Since IoT Core is retired, ingest device telemetry via HTTPS/MQTT endpoints you operate (Cloud Run) then store in Firestore and alert on thresholds. Retain logs per policy; add exports for audits.",Triggers: Periodic sensor reads; manual checklists,Cloud Run ingestion + Pub/Sub + Firestore; IoT Core replacement approach,
Google Cloud Credits,Workflow mapping,Feedback / CRM,Record feedback responses; compute NPS-like metrics; push summary to analytics. Automate “request review” emails 24-72 hours after event completion.,Triggers: Post-event survey; review request,Cloud Run + Firestore + BigQuery + Gmail API,
Google Cloud Credits,Workflow mapping,Lead source tracking (from extraction),Store lead source and stage transitions as events for later attribution analysis. Use BigQuery for funnel reporting once volumes grow.,Triggers: New lead; deal stage changes,Cloud Run webhook + Pub/Sub + BigQuery,
Google Cloud Credits,Workflow mapping,Venue / referral relationship management (from extraction),Maintain venue/contact entities with assigned “owner” rep; scheduled reminders create tasks and emails. Optionally enrich addresses via Places/Geocoding.,Triggers: Quarterly check-ins; rep assignments,Firestore + Scheduler + Workflows + Maps Places (optional),
Google Cloud Credits,Cost model,Cloud Run,"vCPU-seconds, GiB-seconds, and requests beyond free tier",Cost driver,"Often $0 if inside free tier (2M req + 180k vCPU-sec + 360k GiB-sec). Above that, request-based billing applies.",
Google Cloud Credits,Cost model,Firestore,reads/writes/storage beyond free allowance; paid features like PITR/backups,Cost driver,Often $0 at modest scale if you stay under free daily quotas; beware that PITR/backups are billable features.,
Google Cloud Credits,Cost model,Pub/Sub,throughput beyond 10 GiB/month,Cost driver,Often $0; spikes are usually still small unless streaming large payloads.,
Google Cloud Credits,Cost model,Workflows,steps beyond free,Cost driver,"Typically pennies to a few dollars; free: 5,000 internal + 2,000 external monthly.",
Google Cloud Credits,Cost model,Cloud Tasks,operations beyond 1M/month,Cost driver,Usually $0 in early phases; first 1M operations free.,
Google Cloud Credits,Cost model,Cloud Scheduler,job definitions beyond small free allowance,Cost driver,Low single digits per month unless you create many schedules ($0.10/job/31 days).,
Google Cloud Credits,Cost model,Maps (Routes/Places/Geocoding),"per-1,000 event pricing beyond free SKU caps",Cost driver,"Often $0 initially because Essentials commonly include 10k free calls/SKU; route compute is $5 per 1,000 after free cap in Essentials.",
Google Cloud Credits,Cost model,Logging,ingestion beyond free amounts + retention beyond 30 days,Cost driver,"Can become material; first ~50 GiB/month often free, then about $0.50/GiB; retention >30 days $0.01/GiB-month.",
